"Old charity number","New charity number","Name"
1174800,1179652,SLOUGH FORT PRESERVATION TRUST
1079730,1163423,SMILE INTERNATIONAL
1051446,1180187,SNITTERFIELD NURSERY SCHOOL
270295,1118646,SOBELL HOUSE HOSPICE CHARITY LIMITED
281530,1126555,SOCIAL AFFAIRS UNIT
1143564,1172599,SOLIDARITY SPIRITIST SOCIETY
516058,1179376,SOLIHULL MIND
255047,1176821,SOUTH-WEST SURREY MOBILE PHYSIOTHERAPY SERVICE
1105639,1178093,SOUTH KEMPSHOTT COMMUNITY ASSOCIATION
506339,1178389,SOUTH YORKSHIRE INDUSTRIAL HISTORY SOCIETY
1099462,1138808,SOUTHERN HOLDERNESS RESOURCE CENTRE
1033144,1164820,SOUTHGATE PRE-SCHOOL
1119681,1167902,SPACE YOUTH PROJECT
1043693,1179159,SPECIAL PLAY AND LEARNING ACTIVITIES IN SCHOOL HOLIDAYS
267003,1176226,SPELTHORNE MENTAL HEALTH ASSOCIATION
1176130,1176912,SPONSOR A SIBLING
278430,1175793,ST ANDREW'S GREEK ORTHODOX CATHEDRAL TRUST
1027370,1169634,ST AUGUSTINE'S NURSERY
1049556,1175861,ST AUSTELL ARTS CENTRE
312747,1094290,ST DUNSTAN'S EDUCATIONAL FOUNDATION
311073,1168580,ST EDMUND'S COLLEGE
1001724,1163181,ST JOHN'S NURSERY GROUP
252126,1180172,ST JOSEPH'S FAMILY CENTRE
1152173,1180087,ST MARK'S MILTON KEYNES
218731,1165957,"ST MARY'S ABBEY, QUARR"
800378,1176394,ST MICHAEL'S PLAYGROUP (ST ALBANS)
1037927,1179730,ST OSWALD'S PRE-SCHOOL LIMITED
1061819,1180837,ST TUDY PLAYING FIELD TRUST
1146151,1178728,ST. CHAD'S SANCTUARY
1041283,1170645,ST. NICHOLAS COMMUNITY ASSOCIATION
1099672,1181649,STARFISH ASIA
304376,1157941,STEEPLE ASTON PRE-SCHOOL
1052827,1172798,STONE CROSS MILL TRUST
500765,1173198,STUDENT VOLUNTEERING CARDIFF(SVC)
1159181,1173819,SUSSEX EAST AREA QUAKER MEETING
1107061,1180273,SWANLAND VILLAGE HALL
1118371,1181358,TARGETCRAFT ARCHERS
1034805,1179401,TAS VALLEY PRE-SCHOOL AND PLAYGROUP
202120,1177162,TAUNTON HERITAGE TRUST
273441,1172323,TAUNTON WOMENS AID
1084013,1172652,TEESDALE COMMUNITY RESOURCES
1103765,1174954,TENNIS FOR FREE
277318,1180640,THE ALBERT HUNT TRUST
1095901,1165528,THE ALFRED GILLETT TRUST
512548,1178661,THE ALREWAS AND DISTRICT AGRICULTURAL AND HORTICULTURAL SOCIETY
1113058,1161292,THE AMARNA TRUST
208756,1116392,THE ANCHOR SOCIETY LTD
500838,1180846,THE ASKRIGG FOUNDATION
276552,1166948,THE ATHELSTAN NURSERY
233782,1174364,THE BAPTIST MISSIONARY SOCIETY
1125912,1181392,THE BAPTIST UNION OF GREAT BRITAIN
299616,1179769,THE BEAMINSTER MUSEUM TRUST
259349,1065995,THE BENENDEN HOSPITAL TRUST
1091733,1177522,THE BEVERLEY BARGE PRESERVATION SOCIETY
522847,1120499,THE BIRMINGHAM BOYS AND GIRLS UNION
528805,1152244,THE BLUE COAT SCHOOL BIRMINGHAM LIMITED
1106554,1173809,THE BRANSFORD TRUST
325122,1175257,THE BRITISH ASSOCIATION OF PAEDIATRIC SURGEONS
326473,1178279,THE BRITISH FLUTE SOCIETY
208677,1113705,THE BUDDHIST SOCIETY
326292,1123081,THE BULLDOG TRUST LIMITED
1094780,1127012,THE CAROLINE HUMBY TECK TRUST
312055,1171955,THE CARTHUSIAN TRUST
258813,1165034,THE CHAMPERNOWNE TRUST
205698,1173240,THE CHARITY OF DOUGLAS WILLIAM MITCHELL
228961,1177600,THE CHARITY OF JANE WRIGHT
502610,1164896,THE CHARNWOOD TRUST
232651,1135892,THE CHINESE OVERSEAS CHRISTIAN MISSION
1083061,1147459,THE CHRISTIAN CENTRE FOR GAMBLING REHABILITATION LIMITED
297766,1162772,THE CHURCH AND MEDIA NETWORK
802118,1130031,THE CITY CHURCH CANTERBURY
223903,1181189,THE CLEEVES AND WHITEHEAD TRUST
526597,1174177,THE CLITHEROE ROYAL GRAMMAR SCHOOL FOUNDATION
1121610,1179727,THE CO-OPERATIVE HERITAGE TRUST
1106795,1177675,THE COMMUNITY CHURCH BURTON AND DISTRICT
248718,1179469,THE CONNAUGHT TRUST
1050122,1168343,THE CONNECTIONS BUS PROJECT
261109,1179008,THE CRAFTS STUDY CENTRE
528781,1120628,THE CRESCENT SCHOOL TRUST
1003547,1134681,THE CRESCENT SUPPORT GROUP LIMITED
1093674,1169640,THE CROWN CHURCH TRUST
223798,1144923,THE CRUSADERS' UNION
900104,1172445,THE DEVON AND EXETER INSTITUTION
274514,282797,THE DOUGLAS MCMINN CENTRE LIMITED
296553,1181002,THE ECCLESIASTICAL LAW SOCIETY
1112614,1176944,THE ELLAND SILVER BAND
1126479,1163539,THE ELMHURST FOUNDATION
1099998,1116414,THE EMMA MALTBY MEMORIAL FUND
298545,1168096,THE ERNEST AND MARJORIE FUDGE TRUST FOR WARMINSTER
313497,1146629,THE ERNEST COOK TRUST
1010782,1163673,THE ETHIOPIAN CHRISTIAN FELLOWSHIP (UK)
1147191,1177530,THE EVE MERTON DREAMS TRUST
251395,1168037,THE FELLOWSHIP OF INDEPENDENT EVANGELICAL CHURCHES
284865,1179427,THE FELLOWSHIP OF SAINT ETHELWOLD
245671,1164350,THE FERNE ANIMAL SANCTUARY
1133669,1172241,THE FILLIES GFC
313286,1167759,THE FINTRY TRUST
802456,1167428,THE FIRCROFT TRUST
1001311,1180504,THE FOLKESTONE - HYTHE OPERATIC AND DRAMATIC SOCIETY
268211,1134579,THE FOUNDATION FOR LIVER RESEARCH
262330,1153591,THE FRIENDS OF LEIGHTON HOUSE
1101748,1174865,THE FRIENDS OF POOLE PARK
259464,1176266,THE FUND FOR THE REPLACEMENT OF ANIMALS IN MEDICAL EXPERIMENTS (F R A M E)
261270,1171068,THE FUSILIER MUSEUM LONDON
1135781,1174981,THE GILBERT AND GEORGE CENTRE
508070,1176227,THE GLAMORGAN FEDERATION OF YOUNG FARMERS CLUBS
1088699,1175593,THE GOLDSMITHS' COMPANY CHARITY
258372,1172919,THE GOWER SOCIETY
281942,1170335,THE GRAND CHARITY
517936,1153125,THE GRANGE PLAYERS LIMITED
1103355,1134948,THE GREAT DIXTER CHARITABLE TRUST
1169715,1174395,THE GUILDFORD SOCIETY
506820,1180143,THE HALE AND DISTRICT HEBREW CONGREGATION
1139861,1173141,THE HARMONY THERAPY TRUST
288036,1172917,THE HASLEMERE PLAYERS
292020,1176997,THE HASLEMERE THESPIANS
801146,1174307,THE HAYCORNS ASSOCIATION
292048,1176857,THE HAYNES INTERNATIONAL MOTOR MUSEUM
285178,1160233,THE HELIOS FOUNDATION
296965,1174338,THE HENLEY FESTIVAL TRUST
211288,1157467,THE HENRY GILDER DRAKE CHARITY
1109398,1181539,THE HEREDITARY SPASTIC PARAPLEGIA SUPPORT GROUP
1054184,1159032,THE HISTORICAL DIVING SOCIETY
1131613,1167232,THE HOYLAND LOWE STAND TRUST
1057563,1173208,THE IBS NETWORK
262891,1107395,THE INJURED JOCKEYS FUND
250081,1166869,THE INSTITUTE OF REFRIGERATION
1090992,1179846,THE ISLAMIC ASSOCIATION OF LINCOLN
263371,1160353,THE ISLAMIC FOUNDATION
1043619,1141021,THE JOHN STRUTT CONSERVATION FOUNDATION
267441,1170424,THE JOSEPH AND FRANCES CLARK TRUST
1156557,1174340,THE KEARNS FOUNDATION
508451,1176972,THE KENDAL (KIRKLAND) TRUST
306064,1174033,THE KEW GUILD
307525,1174184,THE KING EDWARD VI COLLEGE SITE FOUNDATION
270419,1143338,THE KIT WILSON TRUST FOR ANIMAL WELFARE
701075,1175184,THE LAKELAND HOUSING TRUST
264276,1165880,THE LEAGUE OF FRIENDS OF THE NUFFIELD ORTHOPAEDIC CENTRE
232654,1181156,THE LEAGUE OF FRIENDS OF TUNBRIDGE WELLS HOSPITAL
1113172,1176160,THE LITTLE PRINCESS TRUST
1080634,1175541,THE LIVING ROOM
1084704,1178599,THE LUTE SOCIETY
233601,1180260,THE LUXFORD CENTRE
277548,1178573,THE LYMPNE PLAYING FIELD AND VILLAGE HALL
1010371,1103123,THE LYNCHMERE SOCIETY
293514,1159922,THE MARDEN HOUSE CENTRE
270218,1179673,THE MASS OBSERVATION ARCHIVE
1101050,1177003,THE MAURICE AND VIVIENNE WOHL PHILANTHROPIC FOUNDATION
1081218,1172672,THE MEDITATION TRUST
227801,1170090,THE MEOLE BRACE PEACE MEMORIAL HALL
1117653,1177059,THE MERCIAN REGIMENTAL CHARITY
305078,1175828,THE MERSTHAM VILLAGE TRUST
1085014,1162121,THE MILLENNIUM EMBROIDERY GROUP SUNBURY-ON-THAMES
1077705,1171026,THE MUSEUM OF MILITARY MEDICINE TRUST
327233,1136297,THE MUSLIM YOUTH FOUNDATION
271420,1179641,THE NATURIST FOUNDATION
1136353,1177764,"THE NEW LIFE CHURCH, WOKING"
1068649,1155934,THE NOOR FOUNDATION UK
210885,1177917,THE NORWEGIAN YOUNG WOMEN'S CHRISTIAN ASSOCIATION IN LONDON
515817,1170810,THE ODELL TRUST
1058003,1122040,THE OPEN DOOR (TAUNTON)
256356,1160830,THE PALACE TRUST
522177,1176819,THE PEARSON CENTRE FOR YOUNG PEOPLE
701320,1178874,THE PENRITH AGRICULTURAL SOCIETY
287502,1178847,THE PHOENIX GARDEN
201024,1167275,THE PILMUIR ESTATE
700748,1175337,THE PLYNLIMON TRUST
1099440,1138650,"THE POTTERS HOUSE CHRISTIAN CHURCH, CROYDON"
307757,1167318,THE POWELL-COTTON MUSEUM
307370,1157782,THE PREBENDAL SCHOOL
257414,1180666,THE PSORIASIS ASSOCIATION
216291,1179912,THE RAYNE FOUNDATION
1024684,1176992,THE REDEEMED EVANGELICAL MISSION
1104487,1157096,THE REEF-WORLD FOUNDATION
328746,1150792,THE RETREAT ASSOCIATION
285805,1169079,THE RICHMOND SOCIETY
252090,1163293,THE RIDLEY FOUNDATION
288831,1177871,THE RIVER WEY TRUST
233597,1174261,THE ROMAN CATHOLIC CONGREGATION OF THE MISSIONARY FRANCISCAN SISTERS (OF THE IMMACULATE CONCEPTION )(BRAINTREE) CHARITABLE TRUST
253063,1169164,THE ROTARY CLUB OF ANDOVER BENEVOLENT FUND
1085549,1173871,THE ROTARY CLUB OF NORWICH CHARITY SERVICE FUND
207327,1081009,THE ROYAL AIR FORCE BENEVOLENT FUND
210848,1176054,THE ROYAL AIR FORCE CHARITABLE TRUST
513141,1179781,THE ROYAL CROWN DERBY MUSEUM CHARITABLE TRUST
221958,1150749,THE ROYAL INSTITUTION OF CORNWALL
206003,1168387,THE ROYAL MARINES ASSOCIATION LIMITED
285836,1170336,THE ROYAL MASONIC TRUST FOR GIRLS AND BOYS
212152,1179300,THE ROYAL SOCIETY FOR ASIAN AFFAIRS
266367,1179867,THE SAMATHA TRUST
1087982,1179087,THE SAVITRI WANEY CHARITABLE TRUST
225634,1172162,THE SHEFFIELD CATS SHELTER
1047760,1179323,THE SHREWSBURY FURNITURE SCHEME
326945,1161850,THE SIDNEY NOLAN TRUST
1115049,1180739,THE SIMMS REEVE INSTITUTE BRANCASTER
274487,1128686,THE SIR HENRY ROYCE MEMORIAL FOUNDATION
232363,1177083,THE SISTERS OF PROVIDENCE OF RUILLE-SUR-LOIR
241336,1173777,THE SLADE EVANGELICAL CHURCH
1037019,1144595,THE SOCIETY FOR THE ADVANCEMENT OF PHILOSOPHICAL ENQUIRY AND REFLECTION IN EDUCATION
265632,1146589,THE SOHO SOCIETY
1076617,1108804,THE SOUTHMEAD PROJECT LIMITED
802182,1171309,THE ST MARY'S PRE-SCHOOL
1023745,1128716,THE STANLEY MEWS COMMUNITY TRUST LTD
276371,1174548,THE STANMORE CHORAL SOCIETY
288562,1169540,THE STEYNING MUSEUM TRUST
1099443,1173896,THE STOCK EXCHANGE DRAMATIC AND OPERATIC SOCIETY
1150983,1177004,THE STOREHOUSE PROJECT
1109305,1169999,THE SURVIVORS TRUST
247430,1175032,THE SUSSEX ASSOCIATION FOR SPINA BIFIDA AND HYDROCEPHALUS
271537,1173924,THE TABLET TRUST
274244,1174999,THE TAMARITANS THEATRE COMPANY
702896,1181361,THE THACKRAY MEDICAL RESEARCH TRUST
1125432,1174795,THE THAME MUSEUM TRUST
208678,1095904,THE TORCH TRUST FOR THE BLIND
519302,1168925,THE TOY HOUSE
1067753,1173156,THE UGLY DUCKLING COMPANY
1012346,1170600,THE ULYSSES TRUST
270728,1171197,THE UNION OF MUSLIM ORGANISATIONS OF UK AND EIRE TRUST (ABBREVIATED THE U M O TRUST)
249892,1158987,THE UNION OF ORTHODOX HEBREW CONGREGATIONS
1098909,1172346,THE UNITED KINGDOM NETWORK OF THE INTERNATIONAL SOCIETY FOR PSYCHOLOGICAL AND SOCIAL APPROACHES TO PSYCHOSIS.
1151086,1178793,THE URBAN VOCAL GROUP
262348,1180463,THE VENTURERS NORFOLK BROADS CRUISE
300122,1181340,THE WAYZ
1125246,1179660,THE WELL KIBWORTH
522583,1181598,THE WEM SPORTS AND SOCIAL ASSOCIATION
306622,1144633,THE WHITLEY WILDLIFE CONSERVATION TRUST
307574,1172933,THE WILLIAM BARROW'S CHARITY
269478,1164261,THE WIMBLEDON SOCIETY
326590,1174533,THE WINNICOTT TRUST
1085525,1175164,THE WOODCHURCH SCOUT & GUIDE COMMUNITY CENTRE
271203,1181022,THE WORLD PHEASANT ASSOCIATION
507960,1177037,THE YORK AND DISTRICT BEEKEEPERS' ASSOCIATION
290100,1158927,THE YORKE TRUST
252572,1170254,THE ZEMEL CHOIR
1069814,1148219,THEO TRUST LTD
301415,1158821,THEYDON BOIS VILLAGE ASSOCIATION
310661,1179957,THOMAS PLUME'S LIBRARY
1004285,1180775,THORNBURY VOLUNTEER CENTRE
1034971,1168315,TITCHMARSH PRE-SCHOOL
301641,1180049,TODDINGTON VILLAGE HALL
1035882,1178532,TODMORDEN AMATEUR OPERATIC AND DRAMATIC SOCIETY
1146890,1174681,TOPSHAM RUGBY FOOTBALL CLUB
1001591,1174893,TOTS 2 TEENS
235693,1179215,TOVE VALLEY BAPTIST FELLOWSHIP
1052328,1116812,TRANSPLANT SUPPORT NETWORK
304653,1172028,TRIDENT YOUTH AND COMMUNITY CENTRE
281520,1180760,TRING SCHOOL TRUST
1023335,1180271,TRIRATNA BUDDHIST COMMUNITY (IPSWICH)
1044466,1176063,TRIRATNA LIVERPOOL
309077,1176874,TYR ABAD RESIDENTIAL EDUCATION CENTRE
1022844,1171583,TYTHERINGTON FAMILY WORSHIP CHURCH
1123706,1173468,UGANDA COMMUNITY IN GREATER MANCHESTER
306066,1110590,UK YOUTH
1132159,1176425,UPTON VALE BAPTIST CHURCH
1051491,1180905,UTTLESFORD BUFFY BUS ASSOCIATION
1080835,1174751,VENTNOR BOTANIC GARDEN FRIENDS' SOCIETY
1015097,1166876,VIDES UK
225920,1179436,VILLIERS PARK EDUCATIONAL TRUST
510776,1156931,VINTAGE CARRIAGES TRUST
232860,1167524,W J YAPP BEQUEST
265755,1180690,WALSINGHAM TRUST
270746,1178098,WALTHAMSTOW TOY LIBRARY AND PLAY CENTRE
1154978,1177303,WANSBECK VALLEY FOOD BANK
231091,1176520,WARD'S CHARITY OR CHURCH LANDS
1020136,1170178,WASDALE MOUNTAIN RESCUE TEAM
1059901,1178084,WATER FOR KIDS
1133315,1157948,WAVERTON EVANGELICAL FELLOWSHIP
500394,1180894,WELTON VILLAGE MEMORIAL HALL
280133,1110216,WESSEX CANCER TRUST
1068583,1162990,WEST GLAMORGAN CRIMEBEAT
217486,1124993,WEST HEATH COMMUNITY ASSOCIATION
239313,1175246,WEST LANCASHIRE FREEMASONS' CHARITY
1118460,1174910,WEST WILTS VINEYARD
500652,1180863,WESTERN BEACONS MOUNTAIN SEARCH AND RESCUE TEAM
207964,1175356,WESTMINSTER AMALGAMATED CHARITY
1059844,1171086,WETHERBY SPORTS ASSOCIATION
1068936,1176698,WHITBY CHRISTIAN FELLOWSHIP
529699,1171266,WHITBY LITERARY AND PHILOSOPHICAL SOCIETY
1004636,1159626,WHITEFIELD CHRISTIAN TRUST
241935,1118796,WIDCOMBE BAPTIST CHURCH
1010825,1178881,WIGTON THEATRE CLUB
522695,1060498,WILLOUGHBRIDGE GARDEN TRUST LIMITED
309534,1080096,WILTSHIRE ARCHAEOLOGICAL AND NATURAL HISTORY SOCIETY
1003992,1174519,WINCANTON RECREATIONAL TRUST
1066051,1179212,WINCHESTER PREGNANCY CRISIS CENTRE
281653,1181466,WINDMILL DAY NURSERY
1145123,1167967,WIRRAL FOODBANK
1014300,1150354,WOMEN AND GIRLS NETWORK
1035330,1168815,WOODLAND CORNER
299789,1143122,WOODSIDE ANIMAL WELFARE TRUST
1070246,1163549,WOOTTON CONSERVATION TRUST
304686,1180907,WOOTTON COURTENAY VILLAGE HALL
508607,1173764,WORCESTER MUSLIM WELFARE ASSOCIATION
1048925,1160851,WORLD HARVEST CHRISTIAN CENTRE
278753,1181001,WORLE COMMUNITY ASSOCIATION
1027440,1176474,WOW YOUTH MUSICAL THEATRE
309703,1156892,WYCLIFFE HALL
1094083,1178212,WYGATE FOUNDATION NURSERY SCHOOL
1073723,1173317,YORK AND DISTRICT GROUP RIDING FOR THE DISABLED ASSOCIATION
1149760,1175816,YORUBA FOUNDATION LTD
1124580,1141052,YOUNG VIRTUOSI LIMITED
277935,1175680,YOUTH CONCERN
253226,1102614,Age Concern Kesteven
288028,1098216,Brent Triangle Limited
1096798,1121208,All Nations Christian Centre
